company_confidence,opd_device,fda_device,opd_company,fda_company,dataset_type,stop_words_used,tfidf_score,fuzzy_token_set_score,levenshtein_score,jaro_winkler_score,opd_metadata_2017,opd_metadata_2018,opd_metadata_2019,opd_metadata_2020,opd_metadata_2021,opd_metadata_2022,opd_metadata_2023,opd_metadata_total,fda_metadata_dateoffinaldecision,fda_metadata_panellead,fda_metadata_primaryproductcode,id,match_human
High,acuson sc2000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,91,42,63.97000122,0,0,0,7225.769043,23423.5957,102257.3672,213145.4219,346052.1563,10/30/2023,Radiology,IYN,15,
High,acuson freestyle diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,88,47,63.75,0,0,0,0,1323.407715,73.45415497,129.5866699,1526.448486,10/30/2023,Radiology,IYN,16,
High,acuson s3000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,system,44.41999817,92,42,59.79999924,0,0,0,0,14201.13477,34358.42969,0,48559.5625,10/30/2023,Radiology,IYN,17,
High,sequoia,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,19.54000092,100,10,54.08000183,0,39596.63672,45184.28125,15739.05469,0,0,0,100519.9766,10/30/2023,Radiology,IYN,18,
High,sequoia,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,system,19.54000092,100,10,54.08000183,0,57105.46094,3673.248047,157481.1563,0,0,0,218259.8594,10/30/2023,Radiology,IYN,19,
High,acuson redwood,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,13.48999977,60,17,64.87999725,0,0,0,173.4808502,0,0,0,173.4808502,10/30/2023,Radiology,IYN,20,
High,acuson bonsai,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,13.48999977,63,16,61.47000122,0,0,0,0,483.2928772,0,0,483.2928772,10/30/2023,Radiology,IYN,21,
High,cios select,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,4.329999924,71,15,57.22000122,529.6981812,44.19329834,86.37257385,348.3273926,208.3672791,559.0324707,389.8900146,2165.881104,10/30/2023,Radiology,IYN,22,
High,multix select dr,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,3.230000019,55,18,52.68000031,143.8235168,0,212.6956024,0,0,0,0,356.5191345,10/30/2023,Radiology,IYN,23,
High,acuson sequoia diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",Research Payments,system,72.33000183,100,38,84.65000153,0,0,0,0,78873.70313,276249.0625,18879,374001.75,7/22/2024,Radiology,IYN,24,
High,acuson sequoia diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,72.33000183,100,38,84.65000153,0,0,0,2516.510254,35130.25781,14228.13965,47404.65625,99279.5625,7/22/2024,Radiology,IYN,25,
High,diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,57.58000183,100,26,56.24000168,0,0,0,0,0,109.1660995,315.4333191,424.5994263,7/22/2024,Radiology,IYN,26,
High,acuson juniper diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",Research Payments,system,44.68000031,90,36,59.5,0,0,0,0,4497.944336,0,0,4497.944336,7/22/2024,Radiology,IYN,27,
High,acuson nx3 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,95,33,59.00999832,0,0,0,0,0,68.30039215,35.34000015,103.6403885,7/22/2024,Radiology,IYN,28,
High,acuson juniper diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,90,36,59.5,0,0,0,0,182.1442566,265.9654846,279.4333191,727.5430908,7/22/2024,Radiology,IYN,29,
High,acuson sc2000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",Research Payments,system,44.68000031,91,33,61.56999969,0,0,0,0,28202.11133,0,0,28202.11133,7/22/2024,Radiology,IYN,30,
High,acuson p500 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,93,32,57.77999878,0,0,0,0,145.8383484,258.0422058,18.61000061,422.4905701,7/22/2024,Radiology,IYN,31,
High,acuson s3000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,92,33,57.47000122,0,0,0,0,34.97151947,0,2380,2414.971436,7/22/2024,Radiology,IYN,32,
High,acuson s3000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",Research Payments,system,44.68000031,92,33,57.47000122,0,0,0,0,14201.13477,34358.42969,0,48559.5625,7/22/2024,Radiology,IYN,33,
High,acuson redwood diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,90,37,63.93999863,0,0,0,0,280.885376,1267.451172,3621.643311,5169.97998,7/22/2024,Radiology,IYN,34,
High,acuson freestyle diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,88,38,60.97999954,0,0,0,0,1323.407715,73.45415497,129.5866699,1526.448486,7/22/2024,Radiology,IYN,35,
High,acuson redwood diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",Research Payments,system,44.68000031,90,37,63.93999863,0,0,0,0,8226.740234,0,0,8226.740234,7/22/2024,Radiology,IYN,36,
High,acuson s2000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,92,33,57.47000122,0,0,0,0,7590.719727,5283.972168,517.5033569,13392.19531,7/22/2024,Radiology,IYN,37,
High,acuson sc2000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,44.68000031,91,33,61.56999969,0,0,0,7225.769043,23423.5957,102257.3672,213145.4219,346052.1563,7/22/2024,Radiology,IYN,38,
High,sequoia,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",Research Payments,system,14.60000038,100,7,53.63999939,0,57105.46094,3673.248047,157481.1563,0,0,0,218259.8594,7/22/2024,Radiology,IYN,39,
High,sequoia,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,14.60000038,100,7,53.63999939,0,39596.63672,45184.28125,15739.05469,0,0,0,100519.9766,7/22/2024,Radiology,IYN,40,
High,acuson bonsai,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,13.55000019,63,12,60.70999908,0,0,0,0,483.2928772,0,0,483.2928772,7/22/2024,Radiology,IYN,41,
High,acuson redwood,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,13.55000019,60,13,64.05999756,0,0,0,173.4808502,0,0,0,173.4808502,7/22/2024,Radiology,IYN,42,
High,cios select,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,3.25999999,71,11,56.52999878,529.6981812,44.19329834,86.37257385,348.3273926,208.3672791,559.0324707,389.8900146,2165.881104,7/22/2024,Radiology,IYN,43,
High,multix select dr,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions, USA, Inc.",General Payments,system,2.430000067,55,14,51.72999954,143.8235168,0,212.6956024,0,0,0,0,356.5191345,7/22/2024,Radiology,IYN,44,
High,ai-rad companion (musculoskeletal),AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,9.350000381,59,67,65.80999756,0,0,0,0,0,28736.14063,94850.10156,123586.2422,2/1/2019,Radiology,LLZ,45,
High,ai-rad companion musculoskeletal,AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,9.350000381,59,67,65.80999756,0,0,0,0,123.3842392,0,0,123.3842392,2/1/2019,Radiology,LLZ,46,
High,ai-rad companion (musculoskeletal),AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,9.350000381,59,67,65.80999756,0,0,0,0,0,2452.285889,649.9500122,3102.236084,2/1/2019,Radiology,LLZ,47,
High,ai-rad companion brain mr,AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,7.78000021,72,77,78.58000183,0,0,0,0,0,19521.83398,0,19521.83398,2/1/2019,Radiology,LLZ,48,
High,ai-rad companion brain mr,AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,7.78000021,72,77,78.58000183,0,0,0,0,104233.1016,4249.016602,96.78666687,108578.9063,2/1/2019,Radiology,LLZ,49,
High,ai-rad companion prostate mr,AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,7.78000021,64,68,66.83000183,0,0,0,0,7337.271973,18.26202583,0,7355.533691,2/1/2019,Radiology,LLZ,50,
High,ai-rad companion organs rt,AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,7.78000021,71,75,77.73000336,0,0,0,0,0,680.9632568,0,680.9632568,2/1/2019,Radiology,LLZ,51,
High,ai-rad companion organs rt,AI Rad Companion (Engine),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,7.78000021,71,75,77.73000336,0,0,0,0,0,62469.87109,0,62469.87109,2/1/2019,Radiology,LLZ,52,
High,ai-rad companion (musculoskeletal),AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,43.15999985,69,69,86.12999725,0,0,0,0,0,2452.285889,649.9500122,3102.236084,9/10/2019,Radiology,JAK,53,
High,ai-rad companion (musculoskeletal),AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,43.15999985,69,69,86.12999725,0,0,0,0,0,28736.14063,94850.10156,123586.2422,9/10/2019,Radiology,JAK,54,
High,ai-rad companion musculoskeletal,AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,43.15999985,69,69,86.12999725,0,0,0,0,123.3842392,0,0,123.3842392,9/10/2019,Radiology,JAK,55,
High,ai-rad companion brain mr,AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,34.45999908,77,70,89,0,0,0,0,0,19521.83398,0,19521.83398,9/10/2019,Radiology,JAK,56,
High,ai-rad companion brain mr,AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,77,70,89,0,0,0,0,104233.1016,4249.016602,96.78666687,108578.9063,9/10/2019,Radiology,JAK,57,
High,ai-rad companion organs rt,AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,75,73,89.84999847,0,0,0,0,0,680.9632568,0,680.9632568,9/10/2019,Radiology,JAK,58,
High,ai-rad companion prostate mr,AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,71,74,87.65000153,0,0,0,0,7337.271973,18.26202583,0,7355.533691,9/10/2019,Radiology,JAK,59,
High,ai-rad companion organs rt,AI-Rad Companion (Cardiovascular),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,34.45999908,75,73,89.84999847,0,0,0,0,0,62469.87109,0,62469.87109,9/10/2019,Radiology,JAK,60,
High,ai-rad companion (musculoskeletal),AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,100,100,100,100,0,0,0,0,0,28736.14063,94850.10156,123586.2422,10/20/2022,Radiology,JAK,61,
High,ai-rad companion (musculoskeletal),AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,100,100,100,100,0,0,0,0,0,2452.285889,649.9500122,3102.236084,10/20/2022,Radiology,JAK,62,
High,ai-rad companion musculoskeletal,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,100,100,100,100,0,0,0,0,123.3842392,0,0,123.3842392,10/20/2022,Radiology,JAK,63,
High,ai-rad companion brain mr,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,34.45999908,77,62,85.5,0,0,0,0,0,19521.83398,0,19521.83398,10/20/2022,Radiology,JAK,64,
High,ai-rad companion brain mr,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,77,62,85.5,0,0,0,0,104233.1016,4249.016602,96.78666687,108578.9063,10/20/2022,Radiology,JAK,65,
High,ai-rad companion organs rt,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,34.45999908,75,68,86.90000153,0,0,0,0,0,62469.87109,0,62469.87109,10/20/2022,Radiology,JAK,66,
High,ai-rad companion prostate mr,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,72,69,88.66999817,0,0,0,0,7337.271973,18.26202583,0,7355.533691,10/20/2022,Radiology,JAK,67,
High,ai-rad companion organs rt,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,75,68,86.90000153,0,0,0,0,0,680.9632568,0,680.9632568,10/20/2022,Radiology,JAK,68,
High,ai-rad companion (musculoskeletal),AI-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,43.15999985,75,71,89.40000153,0,0,0,0,0,28736.14063,94850.10156,123586.2422,7/26/2019,Radiology,JAK,69,
High,ai-rad companion musculoskeletal,AI-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,43.15999985,75,71,89.40000153,0,0,0,0,123.3842392,0,0,123.3842392,7/26/2019,Radiology,JAK,70,
High,ai-rad companion (musculoskeletal),AI-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,43.15999985,75,71,89.40000153,0,0,0,0,0,2452.285889,649.9500122,3102.236084,7/26/2019,Radiology,JAK,71,
High,ai-rad companion organs rt,AI-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,76,76,91,0,0,0,0,0,680.9632568,0,680.9632568,7/26/2019,Radiology,JAK,72,
High,ai-rad companion brain mr,AI-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,34.45999908,77,73,90.66999817,0,0,0,0,0,19521.83398,0,19521.83398,7/26/2019,Radiology,JAK,73,
High,ai-rad companion organs rt,AI-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,none,34.45999908,76,76,91,0,0,0,0,0,62469.87109,0,62469.87109,7/26/2019,Radiology,JAK,74,
High,ai-rad companion brain mr,AI-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,none,34.45999908,77,73,90.66999817,0,0,0,0,104233.1016,4249.016602,96.78666687,108578.9063,7/26/2019,Radiology,JAK,75,
